"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2410","Acceso a carrito de compras","","2026-03-16","passed","2026-03-16","","","",""
"","2286","Login exitoso","","2026-03-16","passed","2026-03-16","","","",""
